sample: 0, mc_sample: 10, mean reward: -21.085, std reward: 7.564
sample: 1, mc_sample: 10, mean reward: -23.63, std reward: 9.387
sample: 2, mc_sample: 10, mean reward: -17.661, std reward: 8.542
sample: 3, mc_sample: 10, mean reward: -17.566, std reward: 7.99
sample: 4, mc_sample: 10, mean reward: -20.591, std reward: 7.081
sample: 5, mc_sample: 10, mean reward: -19.987, std reward: 8.286
sample: 6, mc_sample: 10, mean reward: -16.794, std reward: 9.951
sample: 7, mc_sample: 10, mean reward: -17.407, std reward: 8.223
sample: 8, mc_sample: 10, mean reward: -17.046, std reward: 8.883
sample: 9, mc_sample: 10, mean reward: -20.499, std reward: 10.018
sample: 10, mc_sample: 10, mean reward: -23.274, std reward: 11.494
sample: 11, mc_sample: 10, mean reward: -22.865, std reward: 3.601
sample: 12, mc_sample: 10, mean reward: -22.531, std reward: 9.266
sample: 13, mc_sample: 10, mean reward: -24.786, std reward: 5.985
sample: 14, mc_sample: 10, mean reward: -23.96, std reward: 11.59
sample: 15, mc_sample: 10, mean reward: -21.482, std reward: 4.771
sample: 16, mc_sample: 10, mean reward: -21.955, std reward: 7.779
sample: 17, mc_sample: 10, mean reward: -22.061, std reward: 12.361
sample: 18, mc_sample: 10, mean reward: -22.795, std reward: 13.03
sample: 19, mc_sample: 10, mean reward: -19.057, std reward: 8.104
sample: 20, mc_sample: 10, mean reward: -17.124, std reward: 7.552
sample: 21, mc_sample: 10, mean reward: -21.633, std reward: 10.665
sample: 22, mc_sample: 10, mean reward: -25.841, std reward: 11.188
sample: 23, mc_sample: 10, mean reward: -20.504, std reward: 9.017
sample: 24, mc_sample: 10, mean reward: -16.974, std reward: 8.569
sample: 25, mc_sample: 10, mean reward: -18.474, std reward: 6.342
sample: 26, mc_sample: 10, mean reward: -24.109, std reward: 10.474
sample: 27, mc_sample: 10, mean reward: -20.182, std reward: 10.338
sample: 28, mc_sample: 10, mean reward: -18.975, std reward: 8.542
sample: 29, mc_sample: 10, mean reward: -18.66, std reward: 6.414
sample: 30, mc_sample: 10, mean reward: -20.585, std reward: 7.724
sample: 31, mc_sample: 10, mean reward: -21.639, std reward: 6.387
sample: 32, mc_sample: 10, mean reward: -20.163, std reward: 8.918
sample: 33, mc_sample: 10, mean reward: -16.446, std reward: 6.402
sample: 34, mc_sample: 10, mean reward: -26.578, std reward: 10.497
sample: 35, mc_sample: 10, mean reward: -21.069, std reward: 8.216
sample: 36, mc_sample: 10, mean reward: -20.887, std reward: 6.957
sample: 37, mc_sample: 10, mean reward: -15.836, std reward: 6.484
sample: 38, mc_sample: 10, mean reward: -18.531, std reward: 9.566
sample: 39, mc_sample: 10, mean reward: -18.995, std reward: 7.437
sample: 40, mc_sample: 10, mean reward: -24.498, std reward: 7.361
sample: 41, mc_sample: 10, mean reward: -17.706, std reward: 9.741
sample: 42, mc_sample: 10, mean reward: -18.678, std reward: 7.593
sample: 43, mc_sample: 10, mean reward: -18.796, std reward: 7.487
sample: 44, mc_sample: 10, mean reward: -22.931, std reward: 13.732
sample: 45, mc_sample: 10, mean reward: -21.583, std reward: 11.348
sample: 46, mc_sample: 10, mean reward: -15.131, std reward: 7.369
sample: 47, mc_sample: 10, mean reward: -24.765, std reward: 9.603
sample: 48, mc_sample: 10, mean reward: -16.505, std reward: 7.901
sample: 49, mc_sample: 10, mean reward: -23.058, std reward: 8.454
sample: 50, mc_sample: 10, mean reward: -10.525, std reward: 6.093
sample: 51, mc_sample: 10, mean reward: -8.872, std reward: 4.698
sample: 52, mc_sample: 10, mean reward: -9.325, std reward: 5.423
sample: 53, mc_sample: 10, mean reward: -11.337, std reward: 5.64
sample: 54, mc_sample: 10, mean reward: -9.452, std reward: 4.699
sample: 55, mc_sample: 10, mean reward: -8.136, std reward: 3.156
sample: 56, mc_sample: 10, mean reward: -10.354, std reward: 3.841
sample: 57, mc_sample: 10, mean reward: -7.584, std reward: 0.857
sample: 58, mc_sample: 10, mean reward: -12.032, std reward: 6.828
sample: 59, mc_sample: 10, mean reward: -11.308, std reward: 3.489
sample: 60, mc_sample: 10, mean reward: -9.763, std reward: 6.171
sample: 61, mc_sample: 10, mean reward: -10.046, std reward: 6.724
sample: 62, mc_sample: 10, mean reward: -7.712, std reward: 3.306
sample: 63, mc_sample: 10, mean reward: -7.139, std reward: 4.075
sample: 64, mc_sample: 10, mean reward: -5.831, std reward: 2.264
sample: 65, mc_sample: 10, mean reward: -12.98, std reward: 4.697
sample: 66, mc_sample: 10, mean reward: -9.463, std reward: 2.421
sample: 67, mc_sample: 10, mean reward: -9.971, std reward: 4.62
sample: 68, mc_sample: 10, mean reward: -9.676, std reward: 4.581
sample: 69, mc_sample: 10, mean reward: -6.081, std reward: 4.728
sample: 70, mc_sample: 10, mean reward: -9.505, std reward: 3.28
sample: 71, mc_sample: 10, mean reward: -9.203, std reward: 4.578
sample: 72, mc_sample: 10, mean reward: -11.142, std reward: 4.104
sample: 73, mc_sample: 10, mean reward: -9.792, std reward: 3.456
sample: 74, mc_sample: 10, mean reward: -9.275, std reward: 4.815
sample: 75, mc_sample: 10, mean reward: -7.547, std reward: 3.889
sample: 76, mc_sample: 10, mean reward: -8.123, std reward: 3.915
sample: 77, mc_sample: 10, mean reward: -8.596, std reward: 4.448
sample: 78, mc_sample: 10, mean reward: -9.987, std reward: 4.375
sample: 79, mc_sample: 10, mean reward: -9.917, std reward: 5.136
sample: 80, mc_sample: 10, mean reward: -8.219, std reward: 3.584
sample: 81, mc_sample: 10, mean reward: -7.908, std reward: 4.139
sample: 82, mc_sample: 10, mean reward: -10.001, std reward: 4.274
sample: 83, mc_sample: 10, mean reward: -9.532, std reward: 5.706
sample: 84, mc_sample: 10, mean reward: -12.971, std reward: 5.174
sample: 85, mc_sample: 10, mean reward: -7.768, std reward: 4.185
sample: 86, mc_sample: 10, mean reward: -11.663, std reward: 4.654
sample: 87, mc_sample: 10, mean reward: -9.072, std reward: 3.394
sample: 88, mc_sample: 10, mean reward: -9.523, std reward: 4.0
sample: 89, mc_sample: 10, mean reward: -7.843, std reward: 3.194
sample: 90, mc_sample: 10, mean reward: -7.796, std reward: 5.291
sample: 91, mc_sample: 10, mean reward: -13.349, std reward: 5.414
sample: 92, mc_sample: 10, mean reward: -7.085, std reward: 3.214
sample: 93, mc_sample: 10, mean reward: -8.662, std reward: 4.227
sample: 94, mc_sample: 10, mean reward: -8.222, std reward: 4.022
sample: 95, mc_sample: 10, mean reward: -9.773, std reward: 5.113
sample: 96, mc_sample: 10, mean reward: -8.562, std reward: 6.311
sample: 97, mc_sample: 10, mean reward: -10.354, std reward: 4.072
sample: 98, mc_sample: 10, mean reward: -9.523, std reward: 8.189
sample: 99, mc_sample: 10, mean reward: -9.172, std reward: 4.63
