sample: 0, mc_sample: 1, mean reward: -25.963, std reward: 0.0
sample: 1, mc_sample: 1, mean reward: -15.013, std reward: 0.0
sample: 2, mc_sample: 1, mean reward: -11.94, std reward: 0.0
sample: 3, mc_sample: 1, mean reward: -22.459, std reward: 0.0
sample: 4, mc_sample: 1, mean reward: -18.043, std reward: 0.0
sample: 5, mc_sample: 1, mean reward: -16.347, std reward: 0.0
sample: 6, mc_sample: 1, mean reward: -27.069, std reward: 0.0
sample: 7, mc_sample: 1, mean reward: -21.84, std reward: 0.0
sample: 8, mc_sample: 1, mean reward: -18.404, std reward: 0.0
sample: 9, mc_sample: 1, mean reward: -14.426, std reward: 0.0
sample: 10, mc_sample: 1, mean reward: -13.423, std reward: 0.0
sample: 11, mc_sample: 1, mean reward: -37.362, std reward: 0.0
sample: 12, mc_sample: 1, mean reward: -28.885, std reward: 0.0
sample: 13, mc_sample: 1, mean reward: -18.041, std reward: 0.0
sample: 14, mc_sample: 1, mean reward: -27.831, std reward: 0.0
sample: 15, mc_sample: 1, mean reward: -18.872, std reward: 0.0
sample: 16, mc_sample: 1, mean reward: -17.085, std reward: 0.0
sample: 17, mc_sample: 1, mean reward: -17.032, std reward: 0.0
sample: 18, mc_sample: 1, mean reward: -33.216, std reward: 0.0
sample: 19, mc_sample: 1, mean reward: -25.677, std reward: 0.0
sample: 20, mc_sample: 1, mean reward: -7.529, std reward: 0.0
sample: 21, mc_sample: 1, mean reward: -24.367, std reward: 0.0
sample: 22, mc_sample: 1, mean reward: -16.093, std reward: 0.0
sample: 23, mc_sample: 1, mean reward: -6.721, std reward: 0.0
sample: 24, mc_sample: 1, mean reward: -27.888, std reward: 0.0
sample: 25, mc_sample: 1, mean reward: -25.81, std reward: 0.0
sample: 26, mc_sample: 1, mean reward: -31.731, std reward: 0.0
sample: 27, mc_sample: 1, mean reward: -20.304, std reward: 0.0
sample: 28, mc_sample: 1, mean reward: -12.554, std reward: 0.0
sample: 29, mc_sample: 1, mean reward: -20.287, std reward: 0.0
sample: 30, mc_sample: 1, mean reward: -17.963, std reward: 0.0
sample: 31, mc_sample: 1, mean reward: -51.722, std reward: 0.0
sample: 32, mc_sample: 1, mean reward: -20.702, std reward: 0.0
sample: 33, mc_sample: 1, mean reward: -19.265, std reward: 0.0
sample: 34, mc_sample: 1, mean reward: -23.332, std reward: 0.0
sample: 35, mc_sample: 1, mean reward: -26.692, std reward: 0.0
sample: 36, mc_sample: 1, mean reward: -33.81, std reward: 0.0
sample: 37, mc_sample: 1, mean reward: -15.903, std reward: 0.0
sample: 38, mc_sample: 1, mean reward: -7.569, std reward: 0.0
sample: 39, mc_sample: 1, mean reward: -33.07, std reward: 0.0
sample: 40, mc_sample: 1, mean reward: -19.874, std reward: 0.0
sample: 41, mc_sample: 1, mean reward: -7.036, std reward: 0.0
sample: 42, mc_sample: 1, mean reward: -15.491, std reward: 0.0
sample: 43, mc_sample: 1, mean reward: -7.463, std reward: 0.0
sample: 44, mc_sample: 1, mean reward: -35.931, std reward: 0.0
sample: 45, mc_sample: 1, mean reward: -19.418, std reward: 0.0
sample: 46, mc_sample: 1, mean reward: -23.338, std reward: 0.0
sample: 47, mc_sample: 1, mean reward: -19.331, std reward: 0.0
sample: 48, mc_sample: 1, mean reward: -17.194, std reward: 0.0
sample: 49, mc_sample: 1, mean reward: -21.097, std reward: 0.0
sample: 50, mc_sample: 1, mean reward: -29.949, std reward: 0.0
sample: 51, mc_sample: 1, mean reward: -25.457, std reward: 0.0
sample: 52, mc_sample: 1, mean reward: -24.897, std reward: 0.0
sample: 53, mc_sample: 1, mean reward: -30.697, std reward: 0.0
sample: 54, mc_sample: 1, mean reward: -32.927, std reward: 0.0
sample: 55, mc_sample: 1, mean reward: -33.053, std reward: 0.0
sample: 56, mc_sample: 1, mean reward: -28.589, std reward: 0.0
sample: 57, mc_sample: 1, mean reward: -16.695, std reward: 0.0
sample: 58, mc_sample: 1, mean reward: -41.048, std reward: 0.0
sample: 59, mc_sample: 1, mean reward: -47.71, std reward: 0.0
sample: 60, mc_sample: 1, mean reward: -10.022, std reward: 0.0
sample: 61, mc_sample: 1, mean reward: -44.781, std reward: 0.0
sample: 62, mc_sample: 1, mean reward: -17.989, std reward: 0.0
sample: 63, mc_sample: 1, mean reward: -15.615, std reward: 0.0
sample: 64, mc_sample: 1, mean reward: -49.351, std reward: 0.0
sample: 65, mc_sample: 1, mean reward: -40.86, std reward: 0.0
sample: 66, mc_sample: 1, mean reward: -26.333, std reward: 0.0
sample: 67, mc_sample: 1, mean reward: -22.574, std reward: 0.0
sample: 68, mc_sample: 1, mean reward: -12.543, std reward: 0.0
sample: 69, mc_sample: 1, mean reward: -33.326, std reward: 0.0
sample: 70, mc_sample: 1, mean reward: -30.763, std reward: 0.0
sample: 71, mc_sample: 1, mean reward: -28.145, std reward: 0.0
sample: 72, mc_sample: 1, mean reward: -25.099, std reward: 0.0
sample: 73, mc_sample: 1, mean reward: -27.604, std reward: 0.0
sample: 74, mc_sample: 1, mean reward: -38.847, std reward: 0.0
sample: 75, mc_sample: 1, mean reward: -27.464, std reward: 0.0
sample: 76, mc_sample: 1, mean reward: -33.823, std reward: 0.0
sample: 77, mc_sample: 1, mean reward: -54.615, std reward: 0.0
sample: 78, mc_sample: 1, mean reward: -36.106, std reward: 0.0
sample: 79, mc_sample: 1, mean reward: -18.382, std reward: 0.0
sample: 80, mc_sample: 1, mean reward: -26.872, std reward: 0.0
sample: 81, mc_sample: 1, mean reward: -44.917, std reward: 0.0
sample: 82, mc_sample: 1, mean reward: -36.203, std reward: 0.0
sample: 83, mc_sample: 1, mean reward: -26.539, std reward: 0.0
sample: 84, mc_sample: 1, mean reward: -30.039, std reward: 0.0
sample: 85, mc_sample: 1, mean reward: -18.525, std reward: 0.0
sample: 86, mc_sample: 1, mean reward: -18.791, std reward: 0.0
sample: 87, mc_sample: 1, mean reward: -36.505, std reward: 0.0
sample: 88, mc_sample: 1, mean reward: -17.021, std reward: 0.0
sample: 89, mc_sample: 1, mean reward: -19.833, std reward: 0.0
sample: 90, mc_sample: 1, mean reward: -32.132, std reward: 0.0
sample: 91, mc_sample: 1, mean reward: -34.681, std reward: 0.0
sample: 92, mc_sample: 1, mean reward: -35.352, std reward: 0.0
sample: 93, mc_sample: 1, mean reward: -43.419, std reward: 0.0
sample: 94, mc_sample: 1, mean reward: -47.594, std reward: 0.0
sample: 95, mc_sample: 1, mean reward: -22.9, std reward: 0.0
sample: 96, mc_sample: 1, mean reward: -28.416, std reward: 0.0
sample: 97, mc_sample: 1, mean reward: -47.397, std reward: 0.0
sample: 98, mc_sample: 1, mean reward: -38.393, std reward: 0.0
sample: 99, mc_sample: 1, mean reward: -30.42, std reward: 0.0
sample: 100, mc_sample: 1, mean reward: -29.537, std reward: 0.0
sample: 101, mc_sample: 1, mean reward: -13.464, std reward: 0.0
sample: 102, mc_sample: 1, mean reward: -33.331, std reward: 0.0
sample: 103, mc_sample: 1, mean reward: -8.375, std reward: 0.0
