sample: 0, mc_sample: 1, mean reward: 7.469, std reward: 0.0, kl: 0
sample: 1, mc_sample: 1, mean reward: 17.454, std reward: 0.0, kl: 33279.0
sample: 2, mc_sample: 1, mean reward: 13.571, std reward: 0.0, kl: 33278.99609375
sample: 3, mc_sample: 1, mean reward: 19.193, std reward: 0.0, kl: 33279.0
sample: 4, mc_sample: 1, mean reward: 12.034, std reward: 0.0, kl: 33279.0
sample: 5, mc_sample: 1, mean reward: 11.053, std reward: 0.0, kl: 33279.0
sample: 6, mc_sample: 1, mean reward: 21.152, std reward: 0.0, kl: 33278.99609375
sample: 7, mc_sample: 1, mean reward: 19.011, std reward: 0.0, kl: 33279.00390625
sample: 8, mc_sample: 1, mean reward: 22.166, std reward: 0.0, kl: 33278.99609375
sample: 9, mc_sample: 1, mean reward: 26.893, std reward: 0.0, kl: 33279.0
sample: 10, mc_sample: 1, mean reward: 19.18, std reward: 0.0, kl: 33279.0
sample: 11, mc_sample: 1, mean reward: 28.411, std reward: 0.0, kl: 33279.0
sample: 12, mc_sample: 1, mean reward: 14.061, std reward: 0.0, kl: 33279.0
sample: 13, mc_sample: 1, mean reward: 23.336, std reward: 0.0, kl: 33279.0
sample: 14, mc_sample: 1, mean reward: 15.362, std reward: 0.0, kl: 33279.0
sample: 15, mc_sample: 1, mean reward: 39.897, std reward: 0.0, kl: 33279.0
sample: 16, mc_sample: 1, mean reward: 20.353, std reward: 0.0, kl: 33278.99609375
sample: 17, mc_sample: 1, mean reward: 38.464, std reward: 0.0, kl: 33279.0
sample: 18, mc_sample: 1, mean reward: 35.665, std reward: 0.0, kl: 33279.0
sample: 19, mc_sample: 1, mean reward: 48.997, std reward: 0.0, kl: 33279.00390625
sample: 20, mc_sample: 1, mean reward: 30.389, std reward: 0.0, kl: 33279.0
sample: 21, mc_sample: 1, mean reward: 32.897, std reward: 0.0, kl: 33279.0
sample: 22, mc_sample: 1, mean reward: 51.15, std reward: 0.0, kl: 33279.0
sample: 23, mc_sample: 1, mean reward: 41.618, std reward: 0.0, kl: 33279.0
sample: 24, mc_sample: 1, mean reward: 32.169, std reward: 0.0, kl: 33279.0
sample: 25, mc_sample: 1, mean reward: 27.427, std reward: 0.0, kl: 33279.0
sample: 26, mc_sample: 1, mean reward: 43.079, std reward: 0.0, kl: 33279.0
sample: 27, mc_sample: 1, mean reward: 50.81, std reward: 0.0, kl: 33279.0
sample: 28, mc_sample: 1, mean reward: 41.86, std reward: 0.0, kl: 33279.0
sample: 29, mc_sample: 1, mean reward: 50.578, std reward: 0.0, kl: 33279.0
sample: 30, mc_sample: 1, mean reward: 33.587, std reward: 0.0, kl: 33279.0
sample: 31, mc_sample: 1, mean reward: 29.84, std reward: 0.0, kl: 33279.0
sample: 32, mc_sample: 1, mean reward: 45.393, std reward: 0.0, kl: 33279.0
sample: 33, mc_sample: 1, mean reward: 44.975, std reward: 0.0, kl: 33279.0
sample: 34, mc_sample: 1, mean reward: 38.018, std reward: 0.0, kl: 33279.0
sample: 35, mc_sample: 1, mean reward: 49.635, std reward: 0.0, kl: 33279.0
sample: 36, mc_sample: 1, mean reward: 64.14, std reward: 0.0, kl: 33279.0
sample: 37, mc_sample: 1, mean reward: 26.227, std reward: 0.0, kl: 33279.0
sample: 38, mc_sample: 1, mean reward: 43.665, std reward: 0.0, kl: 33279.0
sample: 39, mc_sample: 1, mean reward: 51.197, std reward: 0.0, kl: 33279.0
sample: 40, mc_sample: 1, mean reward: 60.277, std reward: 0.0, kl: 33279.0
sample: 41, mc_sample: 1, mean reward: 45.405, std reward: 0.0, kl: 33279.0
sample: 42, mc_sample: 1, mean reward: 54.641, std reward: 0.0, kl: 33279.0
