sample: 0, mc_sample: 15, mean reward: 24.815, std reward: 2.533, kl: 0
sample: 1, mc_sample: 15, mean reward: 22.653, std reward: 2.65, kl: 0
sample: 2, mc_sample: 15, mean reward: 29.211, std reward: 2.737, kl: 0
sample: 3, mc_sample: 15, mean reward: 26.119, std reward: 2.675, kl: 0
sample: 4, mc_sample: 15, mean reward: 20.012, std reward: 2.575, kl: 0
sample: 5, mc_sample: 15, mean reward: 37.983, std reward: 3.723, kl: 0
sample: 6, mc_sample: 15, mean reward: 30.184, std reward: 3.075, kl: 0
sample: 7, mc_sample: 15, mean reward: 30.385, std reward: 3.534, kl: 0
sample: 8, mc_sample: 15, mean reward: 37.137, std reward: 3.723, kl: 0
sample: 9, mc_sample: 15, mean reward: 29.715, std reward: 4.393, kl: 0
sample: 10, mc_sample: 15, mean reward: 26.639, std reward: 3.153, kl: 0
sample: 11, mc_sample: 15, mean reward: 30.104, std reward: 4.054, kl: 0
sample: 12, mc_sample: 15, mean reward: 24.265, std reward: 3.045, kl: 0
sample: 13, mc_sample: 15, mean reward: 22.906, std reward: 3.602, kl: 0
sample: 14, mc_sample: 15, mean reward: 31.152, std reward: 2.662, kl: 0
sample: 15, mc_sample: 15, mean reward: 34.44, std reward: 4.107, kl: 0
sample: 16, mc_sample: 15, mean reward: 29.393, std reward: 3.687, kl: 0
sample: 17, mc_sample: 15, mean reward: 35.485, std reward: 3.799, kl: 0
sample: 18, mc_sample: 15, mean reward: 36.05, std reward: 3.718, kl: 0
sample: 19, mc_sample: 15, mean reward: 42.702, std reward: 5.438, kl: 0
sample: 20, mc_sample: 15, mean reward: 25.265, std reward: 2.564, kl: 0
sample: 21, mc_sample: 15, mean reward: 24.937, std reward: 2.767, kl: 0
sample: 22, mc_sample: 15, mean reward: 29.815, std reward: 3.805, kl: 0
sample: 23, mc_sample: 15, mean reward: 35.401, std reward: 2.876, kl: 0
sample: 24, mc_sample: 15, mean reward: 29.296, std reward: 3.053, kl: 0
