sample: 0, mc_sample: 1, mean reward: 14.495, std reward: 0.0, kl: 0
sample: 1, mc_sample: 1, mean reward: 7.397, std reward: 0.0, kl: 33279.0
sample: 2, mc_sample: 1, mean reward: 14.172, std reward: 0.0, kl: 33279.0
sample: 3, mc_sample: 1, mean reward: 13.816, std reward: 0.0, kl: 33279.0
sample: 4, mc_sample: 1, mean reward: 10.521, std reward: 0.0, kl: 33279.0
sample: 5, mc_sample: 1, mean reward: 23.931, std reward: 0.0, kl: 33279.0
sample: 6, mc_sample: 1, mean reward: 16.768, std reward: 0.0, kl: 33279.0
sample: 7, mc_sample: 1, mean reward: 11.22, std reward: 0.0, kl: 33279.0
sample: 8, mc_sample: 1, mean reward: 8.106, std reward: 0.0, kl: 33279.0
sample: 9, mc_sample: 1, mean reward: 8.559, std reward: 0.0, kl: 33279.0
sample: 10, mc_sample: 1, mean reward: 10.716, std reward: 0.0, kl: 33279.0
sample: 11, mc_sample: 1, mean reward: 10.29, std reward: 0.0, kl: 33279.0
sample: 12, mc_sample: 1, mean reward: 8.396, std reward: 0.0, kl: 33279.0
sample: 13, mc_sample: 1, mean reward: 13.688, std reward: 0.0, kl: 33279.0
sample: 14, mc_sample: 1, mean reward: 10.896, std reward: 0.0, kl: 33279.0
sample: 15, mc_sample: 1, mean reward: 17.49, std reward: 0.0, kl: 33279.0
sample: 16, mc_sample: 1, mean reward: 13.105, std reward: 0.0, kl: 33279.0
sample: 17, mc_sample: 1, mean reward: 29.379, std reward: 0.0, kl: 33279.0
sample: 18, mc_sample: 1, mean reward: 6.73, std reward: 0.0, kl: 33279.0
sample: 19, mc_sample: 1, mean reward: 10.421, std reward: 0.0, kl: 33279.0
sample: 20, mc_sample: 1, mean reward: 14.163, std reward: 0.0, kl: 33279.0
sample: 21, mc_sample: 1, mean reward: 20.91, std reward: 0.0, kl: 33279.0
sample: 22, mc_sample: 1, mean reward: 17.448, std reward: 0.0, kl: 33279.0
sample: 23, mc_sample: 1, mean reward: 8.516, std reward: 0.0, kl: 33279.0
sample: 24, mc_sample: 1, mean reward: 9.383, std reward: 0.0, kl: 33279.0
sample: 25, mc_sample: 1, mean reward: 34.986, std reward: 0.0, kl: 33279.0
sample: 26, mc_sample: 1, mean reward: 22.664, std reward: 0.0, kl: 33278.9765625
sample: 27, mc_sample: 1, mean reward: 26.238, std reward: 0.0, kl: 33278.9765625
sample: 28, mc_sample: 1, mean reward: 15.592, std reward: 0.0, kl: 33278.9765625
sample: 29, mc_sample: 1, mean reward: 22.852, std reward: 0.0, kl: 33278.9765625
sample: 30, mc_sample: 1, mean reward: 22.517, std reward: 0.0, kl: 33278.9765625
sample: 31, mc_sample: 1, mean reward: 19.756, std reward: 0.0, kl: 33278.9765625
sample: 32, mc_sample: 1, mean reward: 26.123, std reward: 0.0, kl: 33278.9765625
sample: 33, mc_sample: 1, mean reward: 26.08, std reward: 0.0, kl: 33278.9765625
sample: 34, mc_sample: 1, mean reward: 31.639, std reward: 0.0, kl: 33278.9765625
sample: 35, mc_sample: 1, mean reward: 25.625, std reward: 0.0, kl: 33278.9765625
sample: 36, mc_sample: 1, mean reward: 15.302, std reward: 0.0, kl: 33278.9765625
sample: 37, mc_sample: 1, mean reward: 17.876, std reward: 0.0, kl: 33278.9765625
sample: 38, mc_sample: 1, mean reward: 14.111, std reward: 0.0, kl: 33278.9765625
sample: 39, mc_sample: 1, mean reward: 21.872, std reward: 0.0, kl: 33278.9765625
sample: 40, mc_sample: 1, mean reward: 17.261, std reward: 0.0, kl: 33278.9765625
sample: 41, mc_sample: 1, mean reward: 24.81, std reward: 0.0, kl: 33278.9765625
sample: 42, mc_sample: 1, mean reward: 27.226, std reward: 0.0, kl: 33278.9765625
sample: 43, mc_sample: 1, mean reward: 23.369, std reward: 0.0, kl: 33278.9765625
sample: 44, mc_sample: 1, mean reward: 29.684, std reward: 0.0, kl: 33278.9765625
sample: 45, mc_sample: 1, mean reward: 29.586, std reward: 0.0, kl: 33278.9765625
sample: 46, mc_sample: 1, mean reward: 17.305, std reward: 0.0, kl: 33278.9765625
sample: 47, mc_sample: 1, mean reward: 36.572, std reward: 0.0, kl: 33278.9765625
sample: 48, mc_sample: 1, mean reward: 27.108, std reward: 0.0, kl: 33278.9765625
sample: 49, mc_sample: 1, mean reward: 16.811, std reward: 0.0, kl: 33278.9765625
sample: 50, mc_sample: 1, mean reward: 26.774, std reward: 0.0, kl: 33278.9765625
sample: 51, mc_sample: 1, mean reward: 13.491, std reward: 0.0, kl: 33278.921875
sample: 52, mc_sample: 1, mean reward: 21.729, std reward: 0.0, kl: 33278.921875
sample: 53, mc_sample: 1, mean reward: 24.516, std reward: 0.0, kl: 33278.921875
sample: 54, mc_sample: 1, mean reward: 19.633, std reward: 0.0, kl: 33278.921875
sample: 55, mc_sample: 1, mean reward: 32.815, std reward: 0.0, kl: 33278.921875
sample: 56, mc_sample: 1, mean reward: 22.345, std reward: 0.0, kl: 33278.921875
sample: 57, mc_sample: 1, mean reward: 30.284, std reward: 0.0, kl: 33278.921875
sample: 58, mc_sample: 1, mean reward: 34.997, std reward: 0.0, kl: 33278.921875
sample: 59, mc_sample: 1, mean reward: 37.918, std reward: 0.0, kl: 33278.921875
sample: 60, mc_sample: 1, mean reward: 18.307, std reward: 0.0, kl: 33278.921875
sample: 61, mc_sample: 1, mean reward: 24.797, std reward: 0.0, kl: 33278.921875
sample: 62, mc_sample: 1, mean reward: 37.202, std reward: 0.0, kl: 33278.921875
sample: 63, mc_sample: 1, mean reward: 16.013, std reward: 0.0, kl: 33278.921875
sample: 64, mc_sample: 1, mean reward: 45.852, std reward: 0.0, kl: 33278.921875
sample: 65, mc_sample: 1, mean reward: 32.837, std reward: 0.0, kl: 33278.921875
sample: 66, mc_sample: 1, mean reward: 14.641, std reward: 0.0, kl: 33278.921875
sample: 67, mc_sample: 1, mean reward: 16.2, std reward: 0.0, kl: 33278.921875
sample: 68, mc_sample: 1, mean reward: 19.414, std reward: 0.0, kl: 33278.921875
sample: 69, mc_sample: 1, mean reward: 30.908, std reward: 0.0, kl: 33278.921875
sample: 70, mc_sample: 1, mean reward: 25.076, std reward: 0.0, kl: 33278.921875
sample: 71, mc_sample: 1, mean reward: 40.542, std reward: 0.0, kl: 33278.921875
sample: 72, mc_sample: 1, mean reward: 28.275, std reward: 0.0, kl: 33278.921875
sample: 73, mc_sample: 1, mean reward: 19.2, std reward: 0.0, kl: 33278.921875
sample: 74, mc_sample: 1, mean reward: 31.454, std reward: 0.0, kl: 33278.921875
sample: 75, mc_sample: 1, mean reward: 26.365, std reward: 0.0, kl: 33278.921875
sample: 76, mc_sample: 1, mean reward: 60.572, std reward: 0.0, kl: 33278.8359375
sample: 77, mc_sample: 1, mean reward: 34.632, std reward: 0.0, kl: 33278.8359375
sample: 78, mc_sample: 1, mean reward: 43.309, std reward: 0.0, kl: 33278.8359375
sample: 79, mc_sample: 1, mean reward: 56.167, std reward: 0.0, kl: 33278.8359375
sample: 80, mc_sample: 1, mean reward: 65.252, std reward: 0.0, kl: 33278.8359375
sample: 81, mc_sample: 1, mean reward: 29.314, std reward: 0.0, kl: 33278.8359375
sample: 82, mc_sample: 1, mean reward: 34.981, std reward: 0.0, kl: 33278.8359375
sample: 83, mc_sample: 1, mean reward: 43.567, std reward: 0.0, kl: 33278.8359375
sample: 84, mc_sample: 1, mean reward: 59.424, std reward: 0.0, kl: 33278.8359375
sample: 85, mc_sample: 1, mean reward: 43.046, std reward: 0.0, kl: 33278.8359375
sample: 86, mc_sample: 1, mean reward: 35.055, std reward: 0.0, kl: 33278.8359375
sample: 87, mc_sample: 1, mean reward: 28.094, std reward: 0.0, kl: 33278.8359375
sample: 88, mc_sample: 1, mean reward: 53.862, std reward: 0.0, kl: 33278.8359375
sample: 89, mc_sample: 1, mean reward: 58.061, std reward: 0.0, kl: 33278.8359375
sample: 90, mc_sample: 1, mean reward: 57.29, std reward: 0.0, kl: 33278.8359375
sample: 91, mc_sample: 1, mean reward: 50.268, std reward: 0.0, kl: 33278.8359375
sample: 92, mc_sample: 1, mean reward: 22.203, std reward: 0.0, kl: 33278.8359375
sample: 93, mc_sample: 1, mean reward: 34.943, std reward: 0.0, kl: 33278.8359375
sample: 94, mc_sample: 1, mean reward: 28.234, std reward: 0.0, kl: 33278.8359375
sample: 95, mc_sample: 1, mean reward: 30.42, std reward: 0.0, kl: 33278.8359375
sample: 96, mc_sample: 1, mean reward: 48.664, std reward: 0.0, kl: 33278.8359375
sample: 97, mc_sample: 1, mean reward: 39.272, std reward: 0.0, kl: 33278.8359375
sample: 98, mc_sample: 1, mean reward: 52.796, std reward: 0.0, kl: 33278.8359375
sample: 99, mc_sample: 1, mean reward: 34.81, std reward: 0.0, kl: 33278.8359375
sample: 100, mc_sample: 1, mean reward: 23.326, std reward: 0.0, kl: 33278.8359375
sample: 101, mc_sample: 1, mean reward: 25.889, std reward: 0.0, kl: 33278.734375
sample: 102, mc_sample: 1, mean reward: 25.476, std reward: 0.0, kl: 33278.734375
sample: 103, mc_sample: 1, mean reward: 26.849, std reward: 0.0, kl: 33278.734375
sample: 104, mc_sample: 1, mean reward: 49.225, std reward: 0.0, kl: 33278.734375
sample: 105, mc_sample: 1, mean reward: 26.499, std reward: 0.0, kl: 33278.734375
sample: 106, mc_sample: 1, mean reward: 28.232, std reward: 0.0, kl: 33278.734375
sample: 107, mc_sample: 1, mean reward: 27.116, std reward: 0.0, kl: 33278.734375
sample: 108, mc_sample: 1, mean reward: 33.319, std reward: 0.0, kl: 33278.734375
sample: 109, mc_sample: 1, mean reward: 61.842, std reward: 0.0, kl: 33278.734375
sample: 110, mc_sample: 1, mean reward: 32.162, std reward: 0.0, kl: 33278.734375
sample: 111, mc_sample: 1, mean reward: 39.927, std reward: 0.0, kl: 33278.734375
sample: 112, mc_sample: 1, mean reward: 20.357, std reward: 0.0, kl: 33278.734375
sample: 113, mc_sample: 1, mean reward: 36.496, std reward: 0.0, kl: 33278.734375
sample: 114, mc_sample: 1, mean reward: 47.175, std reward: 0.0, kl: 33278.734375
sample: 115, mc_sample: 1, mean reward: 43.479, std reward: 0.0, kl: 33278.734375
sample: 116, mc_sample: 1, mean reward: 45.494, std reward: 0.0, kl: 33278.734375
sample: 117, mc_sample: 1, mean reward: 39.234, std reward: 0.0, kl: 33278.734375
sample: 118, mc_sample: 1, mean reward: 48.967, std reward: 0.0, kl: 33278.734375
sample: 119, mc_sample: 1, mean reward: 25.857, std reward: 0.0, kl: 33278.734375
sample: 120, mc_sample: 1, mean reward: 17.943, std reward: 0.0, kl: 33278.734375
sample: 121, mc_sample: 1, mean reward: 34.635, std reward: 0.0, kl: 33278.734375
sample: 122, mc_sample: 1, mean reward: 24.738, std reward: 0.0, kl: 33278.734375
sample: 123, mc_sample: 1, mean reward: 52.585, std reward: 0.0, kl: 33278.734375
sample: 124, mc_sample: 1, mean reward: 28.979, std reward: 0.0, kl: 33278.734375
sample: 125, mc_sample: 1, mean reward: 71.037, std reward: 0.0, kl: 33278.734375
sample: 126, mc_sample: 1, mean reward: 36.094, std reward: 0.0, kl: 33278.671875
sample: 127, mc_sample: 1, mean reward: 56.947, std reward: 0.0, kl: 33278.671875
