sample: 0, mc_sample: 20, total reward: 2.892
sample: 1, mc_sample: 20, total reward: 3.214
sample: 2, mc_sample: 20, total reward: 1.599
sample: 3, mc_sample: 20, total reward: 3.023
sample: 4, mc_sample: 20, total reward: 2.366
sample: 5, mc_sample: 20, total reward: 2.525
sample: 6, mc_sample: 20, total reward: 3.703
sample: 7, mc_sample: 20, total reward: 3.841
sample: 8, mc_sample: 20, total reward: 2.139
sample: 9, mc_sample: 20, total reward: 2.251
sample: 10, mc_sample: 20, total reward: 3.701
sample: 11, mc_sample: 20, total reward: 3.331
sample: 12, mc_sample: 20, total reward: 3.263
sample: 13, mc_sample: 20, total reward: 3.913
sample: 14, mc_sample: 20, total reward: 2.736
sample: 15, mc_sample: 20, total reward: 2.56
sample: 16, mc_sample: 20, total reward: 3.715
sample: 17, mc_sample: 20, total reward: 1.926
sample: 18, mc_sample: 20, total reward: 3.509
sample: 19, mc_sample: 20, total reward: 3.612
sample: 20, mc_sample: 20, total reward: 3.12
sample: 21, mc_sample: 20, total reward: 2.812
sample: 22, mc_sample: 20, total reward: 3.577
sample: 23, mc_sample: 20, total reward: 1.701
sample: 24, mc_sample: 20, total reward: 3.199
sample: 25, mc_sample: 20, total reward: 3.001
sample: 26, mc_sample: 20, total reward: 2.375
sample: 27, mc_sample: 20, total reward: 2.804
sample: 28, mc_sample: 20, total reward: 3.459
sample: 29, mc_sample: 20, total reward: 1.662
sample: 30, mc_sample: 20, total reward: 2.3
sample: 31, mc_sample: 20, total reward: 3.502
sample: 32, mc_sample: 20, total reward: 2.97
sample: 33, mc_sample: 20, total reward: 2.825
sample: 34, mc_sample: 20, total reward: 2.67
sample: 35, mc_sample: 20, total reward: 2.996
sample: 36, mc_sample: 20, total reward: 2.746
sample: 37, mc_sample: 20, total reward: 1.881
sample: 38, mc_sample: 20, total reward: 2.164
sample: 39, mc_sample: 20, total reward: 4.201
sample: 40, mc_sample: 20, total reward: 3.195
sample: 41, mc_sample: 20, total reward: 4.018
sample: 42, mc_sample: 20, total reward: 2.89
sample: 43, mc_sample: 20, total reward: 2.943
sample: 44, mc_sample: 20, total reward: 2.248
sample: 45, mc_sample: 20, total reward: 3.375
sample: 46, mc_sample: 20, total reward: 3.0
sample: 47, mc_sample: 20, total reward: 2.27
sample: 48, mc_sample: 20, total reward: 3.582
sample: 49, mc_sample: 20, total reward: 3.076
sample: 50, mc_sample: 20, total reward: 2.545
sample: 51, mc_sample: 20, total reward: 2.618
sample: 52, mc_sample: 20, total reward: 3.38
sample: 53, mc_sample: 20, total reward: 2.882
sample: 54, mc_sample: 20, total reward: 2.871
sample: 55, mc_sample: 20, total reward: 3.09
sample: 56, mc_sample: 20, total reward: 3.711
sample: 57, mc_sample: 20, total reward: 4.071
sample: 58, mc_sample: 20, total reward: 4.126
sample: 59, mc_sample: 20, total reward: 3.713
sample: 60, mc_sample: 20, total reward: 3.354
sample: 61, mc_sample: 20, total reward: 2.932
sample: 62, mc_sample: 20, total reward: 3.954
sample: 63, mc_sample: 20, total reward: 3.66
sample: 64, mc_sample: 20, total reward: 3.65
sample: 65, mc_sample: 20, total reward: 3.423
sample: 66, mc_sample: 20, total reward: 2.451
sample: 67, mc_sample: 20, total reward: 3.368
sample: 68, mc_sample: 20, total reward: 3.997
sample: 69, mc_sample: 20, total reward: 2.929
sample: 70, mc_sample: 20, total reward: 3.801
sample: 71, mc_sample: 20, total reward: 2.301
sample: 72, mc_sample: 20, total reward: 3.284
sample: 73, mc_sample: 20, total reward: 3.969
sample: 74, mc_sample: 20, total reward: 2.712
sample: 75, mc_sample: 20, total reward: 3.512
sample: 76, mc_sample: 20, total reward: 2.124
sample: 77, mc_sample: 20, total reward: 3.754
sample: 78, mc_sample: 20, total reward: 4.572
sample: 79, mc_sample: 20, total reward: 2.096
sample: 80, mc_sample: 20, total reward: 3.456
sample: 81, mc_sample: 20, total reward: 2.299
sample: 82, mc_sample: 20, total reward: 2.783
sample: 83, mc_sample: 20, total reward: 4.071
sample: 84, mc_sample: 20, total reward: 2.681
sample: 85, mc_sample: 20, total reward: 3.332
sample: 86, mc_sample: 20, total reward: 3.86
sample: 87, mc_sample: 20, total reward: 3.552
sample: 88, mc_sample: 20, total reward: 3.479
sample: 89, mc_sample: 20, total reward: 3.709
sample: 90, mc_sample: 20, total reward: 3.766
