sample: 0, mc_sample: 1, mean reward: -47.421, std reward: 0.0, kl: 0
sample: 1, mc_sample: 1, mean reward: -22.261, std reward: 0.0, kl: 47740.0
sample: 2, mc_sample: 1, mean reward: -43.078, std reward: 0.0, kl: 47740.0
sample: 3, mc_sample: 1, mean reward: -47.62, std reward: 0.0, kl: 47740.0
sample: 4, mc_sample: 1, mean reward: -36.271, std reward: 0.0, kl: 47740.0
sample: 5, mc_sample: 1, mean reward: -11.192, std reward: 0.0, kl: 47740.0
sample: 6, mc_sample: 1, mean reward: -42.263, std reward: 0.0, kl: 47740.0
sample: 7, mc_sample: 1, mean reward: -32.804, std reward: 0.0, kl: 47740.0
sample: 8, mc_sample: 1, mean reward: -47.665, std reward: 0.0, kl: 47740.0
sample: 9, mc_sample: 1, mean reward: -40.569, std reward: 0.0, kl: 47740.0
sample: 10, mc_sample: 1, mean reward: -41.234, std reward: 0.0, kl: 47740.0
sample: 11, mc_sample: 1, mean reward: -9.232, std reward: 0.0, kl: 47740.0
sample: 12, mc_sample: 1, mean reward: -30.817, std reward: 0.0, kl: 47740.0
sample: 13, mc_sample: 1, mean reward: -13.895, std reward: 0.0, kl: 47740.0
sample: 14, mc_sample: 1, mean reward: -16.049, std reward: 0.0, kl: 47740.0
sample: 15, mc_sample: 1, mean reward: -35.288, std reward: 0.0, kl: 47740.0
sample: 16, mc_sample: 1, mean reward: -41.539, std reward: 0.0, kl: 47740.0
sample: 17, mc_sample: 1, mean reward: -76.627, std reward: 0.0, kl: 47740.0
sample: 18, mc_sample: 1, mean reward: -21.323, std reward: 0.0, kl: 47740.0
sample: 19, mc_sample: 1, mean reward: -27.988, std reward: 0.0, kl: 47740.0
sample: 20, mc_sample: 1, mean reward: -44.005, std reward: 0.0, kl: 47740.0
sample: 21, mc_sample: 1, mean reward: -14.911, std reward: 0.0, kl: 47740.0
sample: 22, mc_sample: 1, mean reward: -32.998, std reward: 0.0, kl: 47740.0
sample: 23, mc_sample: 1, mean reward: -13.42, std reward: 0.0, kl: 47740.0
sample: 24, mc_sample: 1, mean reward: -14.824, std reward: 0.0, kl: 47740.0
sample: 25, mc_sample: 1, mean reward: -19.48, std reward: 0.0, kl: 47740.0
sample: 26, mc_sample: 1, mean reward: -37.99, std reward: 0.0, kl: 47740.0
sample: 27, mc_sample: 1, mean reward: -54.11, std reward: 0.0, kl: 47740.0
sample: 28, mc_sample: 1, mean reward: -40.744, std reward: 0.0, kl: 47740.0
sample: 29, mc_sample: 1, mean reward: -62.148, std reward: 0.0, kl: 47740.0
