sample: 0, mc_sample: 10, mean reward: -24.986, std reward: 10.163
sample: 1, mc_sample: 10, mean reward: -32.73, std reward: 9.16
sample: 2, mc_sample: 10, mean reward: -22.217, std reward: 10.113
sample: 3, mc_sample: 10, mean reward: -21.657, std reward: 10.7
sample: 4, mc_sample: 10, mean reward: -29.036, std reward: 13.779
sample: 5, mc_sample: 10, mean reward: -35.533, std reward: 14.074
sample: 6, mc_sample: 10, mean reward: -29.152, std reward: 19.609
sample: 7, mc_sample: 10, mean reward: -29.192, std reward: 11.586
sample: 8, mc_sample: 10, mean reward: -22.315, std reward: 13.102
sample: 9, mc_sample: 10, mean reward: -23.11, std reward: 8.56
sample: 10, mc_sample: 10, mean reward: -18.532, std reward: 6.691
sample: 11, mc_sample: 10, mean reward: -21.182, std reward: 7.945
sample: 12, mc_sample: 10, mean reward: -17.619, std reward: 9.919
sample: 13, mc_sample: 10, mean reward: -24.55, std reward: 9.805
sample: 14, mc_sample: 10, mean reward: -20.074, std reward: 7.748
sample: 15, mc_sample: 10, mean reward: -21.727, std reward: 7.807
sample: 16, mc_sample: 10, mean reward: -21.029, std reward: 12.076
sample: 17, mc_sample: 10, mean reward: -19.386, std reward: 7.638
sample: 18, mc_sample: 10, mean reward: -21.331, std reward: 8.028
sample: 19, mc_sample: 10, mean reward: -24.366, std reward: 7.773
sample: 20, mc_sample: 10, mean reward: -22.972, std reward: 12.726
sample: 21, mc_sample: 10, mean reward: -17.19, std reward: 7.838
sample: 22, mc_sample: 10, mean reward: -16.3, std reward: 5.411
sample: 23, mc_sample: 10, mean reward: -17.331, std reward: 7.881
sample: 24, mc_sample: 10, mean reward: -18.534, std reward: 8.266
sample: 25, mc_sample: 10, mean reward: -15.07, std reward: 6.424
sample: 26, mc_sample: 10, mean reward: -20.685, std reward: 5.004
sample: 27, mc_sample: 10, mean reward: -22.794, std reward: 10.459
sample: 28, mc_sample: 10, mean reward: -14.487, std reward: 6.231
sample: 29, mc_sample: 10, mean reward: -17.992, std reward: 6.036
sample: 30, mc_sample: 10, mean reward: -14.897, std reward: 7.397
sample: 31, mc_sample: 10, mean reward: -15.095, std reward: 7.924
sample: 32, mc_sample: 10, mean reward: -16.534, std reward: 6.397
sample: 33, mc_sample: 10, mean reward: -9.699, std reward: 4.38
sample: 34, mc_sample: 10, mean reward: -16.309, std reward: 4.837
sample: 35, mc_sample: 10, mean reward: -18.043, std reward: 8.18
sample: 36, mc_sample: 10, mean reward: -16.806, std reward: 8.371
sample: 37, mc_sample: 10, mean reward: -13.827, std reward: 3.897
sample: 38, mc_sample: 10, mean reward: -14.926, std reward: 6.583
sample: 39, mc_sample: 10, mean reward: -17.983, std reward: 8.308
sample: 40, mc_sample: 10, mean reward: -10.396, std reward: 3.62
sample: 41, mc_sample: 10, mean reward: -11.678, std reward: 4.445
sample: 42, mc_sample: 10, mean reward: -13.569, std reward: 5.259
sample: 43, mc_sample: 10, mean reward: -11.747, std reward: 5.576
sample: 44, mc_sample: 10, mean reward: -8.199, std reward: 4.288
sample: 45, mc_sample: 10, mean reward: -10.699, std reward: 6.103
sample: 46, mc_sample: 10, mean reward: -11.668, std reward: 5.212
sample: 47, mc_sample: 10, mean reward: -15.055, std reward: 6.534
sample: 48, mc_sample: 10, mean reward: -14.78, std reward: 4.41
sample: 49, mc_sample: 10, mean reward: -11.19, std reward: 4.797
sample: 50, mc_sample: 10, mean reward: -12.053, std reward: 5.695
sample: 51, mc_sample: 10, mean reward: -9.99, std reward: 4.365
sample: 52, mc_sample: 10, mean reward: -8.329, std reward: 3.013
sample: 53, mc_sample: 10, mean reward: -11.007, std reward: 5.718
sample: 54, mc_sample: 10, mean reward: -10.464, std reward: 3.536
sample: 55, mc_sample: 10, mean reward: -8.666, std reward: 4.828
sample: 56, mc_sample: 10, mean reward: -10.529, std reward: 6.197
sample: 57, mc_sample: 10, mean reward: -9.799, std reward: 5.828
sample: 58, mc_sample: 10, mean reward: -8.188, std reward: 3.447
sample: 59, mc_sample: 10, mean reward: -10.68, std reward: 4.97
sample: 60, mc_sample: 10, mean reward: -9.317, std reward: 4.78
sample: 61, mc_sample: 10, mean reward: -6.104, std reward: 2.449
sample: 62, mc_sample: 10, mean reward: -9.455, std reward: 5.437
sample: 63, mc_sample: 10, mean reward: -7.326, std reward: 4.081
sample: 64, mc_sample: 10, mean reward: -8.592, std reward: 5.379
sample: 65, mc_sample: 10, mean reward: -7.829, std reward: 3.4
sample: 66, mc_sample: 10, mean reward: -8.763, std reward: 3.363
sample: 67, mc_sample: 10, mean reward: -6.333, std reward: 4.607
sample: 68, mc_sample: 10, mean reward: -5.887, std reward: 3.732
sample: 69, mc_sample: 10, mean reward: -5.838, std reward: 2.729
sample: 70, mc_sample: 10, mean reward: -9.834, std reward: 4.39
sample: 71, mc_sample: 10, mean reward: -6.103, std reward: 4.163
sample: 72, mc_sample: 10, mean reward: -5.997, std reward: 4.735
sample: 73, mc_sample: 10, mean reward: -7.19, std reward: 1.944
sample: 74, mc_sample: 10, mean reward: -8.415, std reward: 4.964
sample: 75, mc_sample: 10, mean reward: -7.91, std reward: 4.775
sample: 76, mc_sample: 10, mean reward: -10.618, std reward: 4.658
sample: 77, mc_sample: 10, mean reward: -5.699, std reward: 3.479
sample: 78, mc_sample: 10, mean reward: -6.534, std reward: 2.469
sample: 79, mc_sample: 10, mean reward: -6.231, std reward: 2.863
sample: 80, mc_sample: 10, mean reward: -6.814, std reward: 3.942
sample: 81, mc_sample: 10, mean reward: -5.511, std reward: 3.489
sample: 82, mc_sample: 10, mean reward: -3.573, std reward: 2.409
sample: 83, mc_sample: 10, mean reward: -5.568, std reward: 2.308
sample: 84, mc_sample: 10, mean reward: -4.265, std reward: 3.069
sample: 85, mc_sample: 10, mean reward: -5.515, std reward: 3.862
sample: 86, mc_sample: 10, mean reward: -4.688, std reward: 2.167
sample: 87, mc_sample: 10, mean reward: -5.127, std reward: 1.553
sample: 88, mc_sample: 10, mean reward: -6.301, std reward: 1.619
sample: 89, mc_sample: 10, mean reward: -6.583, std reward: 5.104
sample: 90, mc_sample: 10, mean reward: -6.656, std reward: 3.174
sample: 91, mc_sample: 10, mean reward: -3.372, std reward: 1.907
sample: 92, mc_sample: 10, mean reward: -6.139, std reward: 1.714
sample: 93, mc_sample: 10, mean reward: -5.056, std reward: 2.858
sample: 94, mc_sample: 10, mean reward: -6.749, std reward: 3.876
sample: 95, mc_sample: 10, mean reward: -5.006, std reward: 2.907
sample: 96, mc_sample: 10, mean reward: -4.687, std reward: 2.587
sample: 97, mc_sample: 10, mean reward: -7.384, std reward: 2.951
sample: 98, mc_sample: 10, mean reward: -5.902, std reward: 2.681
sample: 99, mc_sample: 10, mean reward: -3.359, std reward: 1.488
sample: 100, mc_sample: 10, mean reward: -4.567, std reward: 3.086
sample: 101, mc_sample: 10, mean reward: -4.619, std reward: 2.063
sample: 102, mc_sample: 10, mean reward: -5.619, std reward: 4.498
sample: 103, mc_sample: 10, mean reward: -5.805, std reward: 2.772
sample: 104, mc_sample: 10, mean reward: -5.483, std reward: 3.946
sample: 105, mc_sample: 10, mean reward: -5.101, std reward: 2.206
sample: 106, mc_sample: 10, mean reward: -4.785, std reward: 4.647
sample: 107, mc_sample: 10, mean reward: -6.687, std reward: 3.195
sample: 108, mc_sample: 10, mean reward: -4.843, std reward: 2.502
sample: 109, mc_sample: 10, mean reward: -4.191, std reward: 1.654
