sample: 0, mc_sample: 10, mean reward: -20.431, std reward: 10.197
sample: 1, mc_sample: 10, mean reward: -16.337, std reward: 7.131
sample: 2, mc_sample: 10, mean reward: -17.714, std reward: 10.104
sample: 3, mc_sample: 10, mean reward: -21.727, std reward: 8.637
sample: 4, mc_sample: 10, mean reward: -18.334, std reward: 8.673
sample: 5, mc_sample: 10, mean reward: -21.534, std reward: 7.106
sample: 6, mc_sample: 10, mean reward: -19.584, std reward: 6.406
sample: 7, mc_sample: 10, mean reward: -21.338, std reward: 8.757
sample: 8, mc_sample: 10, mean reward: -22.577, std reward: 10.638
sample: 9, mc_sample: 10, mean reward: -21.021, std reward: 7.357
sample: 10, mc_sample: 10, mean reward: -23.64, std reward: 9.157
sample: 11, mc_sample: 10, mean reward: -23.406, std reward: 10.917
sample: 12, mc_sample: 10, mean reward: -17.96, std reward: 4.085
sample: 13, mc_sample: 10, mean reward: -22.71, std reward: 10.24
sample: 14, mc_sample: 10, mean reward: -22.618, std reward: 10.032
sample: 15, mc_sample: 10, mean reward: -19.557, std reward: 6.658
sample: 16, mc_sample: 10, mean reward: -24.83, std reward: 8.419
sample: 17, mc_sample: 10, mean reward: -19.723, std reward: 7.721
sample: 18, mc_sample: 10, mean reward: -18.876, std reward: 9.174
sample: 19, mc_sample: 10, mean reward: -19.902, std reward: 7.134
sample: 20, mc_sample: 10, mean reward: -23.29, std reward: 11.759
sample: 21, mc_sample: 10, mean reward: -21.889, std reward: 7.946
sample: 22, mc_sample: 10, mean reward: -24.341, std reward: 9.699
sample: 23, mc_sample: 10, mean reward: -22.097, std reward: 5.519
sample: 24, mc_sample: 10, mean reward: -22.431, std reward: 9.299
sample: 25, mc_sample: 10, mean reward: -18.452, std reward: 9.048
sample: 26, mc_sample: 10, mean reward: -19.747, std reward: 8.496
sample: 27, mc_sample: 10, mean reward: -18.614, std reward: 11.482
sample: 28, mc_sample: 10, mean reward: -20.261, std reward: 10.697
sample: 29, mc_sample: 10, mean reward: -18.834, std reward: 6.67
sample: 30, mc_sample: 10, mean reward: -26.82, std reward: 9.537
sample: 31, mc_sample: 10, mean reward: -16.948, std reward: 6.515
sample: 32, mc_sample: 10, mean reward: -22.563, std reward: 9.314
sample: 33, mc_sample: 10, mean reward: -23.116, std reward: 7.823
sample: 34, mc_sample: 10, mean reward: -21.185, std reward: 6.57
sample: 35, mc_sample: 10, mean reward: -19.705, std reward: 8.888
sample: 36, mc_sample: 10, mean reward: -18.88, std reward: 9.428
sample: 37, mc_sample: 10, mean reward: -19.654, std reward: 7.243
sample: 38, mc_sample: 10, mean reward: -20.792, std reward: 8.256
sample: 39, mc_sample: 10, mean reward: -20.73, std reward: 6.467
sample: 40, mc_sample: 10, mean reward: -21.245, std reward: 7.246
sample: 41, mc_sample: 10, mean reward: -23.25, std reward: 4.451
sample: 42, mc_sample: 10, mean reward: -24.848, std reward: 11.022
sample: 43, mc_sample: 10, mean reward: -23.473, std reward: 8.069
sample: 44, mc_sample: 10, mean reward: -23.957, std reward: 10.257
sample: 45, mc_sample: 10, mean reward: -25.62, std reward: 12.113
sample: 46, mc_sample: 10, mean reward: -27.473, std reward: 9.005
sample: 47, mc_sample: 10, mean reward: -19.283, std reward: 9.195
sample: 48, mc_sample: 10, mean reward: -22.872, std reward: 7.971
sample: 49, mc_sample: 10, mean reward: -21.88, std reward: 9.487
sample: 50, mc_sample: 10, mean reward: -6.789, std reward: 3.651
sample: 51, mc_sample: 10, mean reward: -8.259, std reward: 2.78
sample: 52, mc_sample: 10, mean reward: -6.796, std reward: 4.15
sample: 53, mc_sample: 10, mean reward: -7.053, std reward: 4.513
sample: 54, mc_sample: 10, mean reward: -7.566, std reward: 2.877
sample: 55, mc_sample: 10, mean reward: -6.753, std reward: 3.144
sample: 56, mc_sample: 10, mean reward: -6.507, std reward: 2.91
sample: 57, mc_sample: 10, mean reward: -9.502, std reward: 3.963
sample: 58, mc_sample: 10, mean reward: -7.637, std reward: 2.445
sample: 59, mc_sample: 10, mean reward: -8.525, std reward: 4.699
sample: 60, mc_sample: 10, mean reward: -8.756, std reward: 4.112
sample: 61, mc_sample: 10, mean reward: -6.999, std reward: 4.917
sample: 62, mc_sample: 10, mean reward: -7.918, std reward: 4.515
sample: 63, mc_sample: 10, mean reward: -7.516, std reward: 2.144
sample: 64, mc_sample: 10, mean reward: -7.18, std reward: 3.153
sample: 65, mc_sample: 10, mean reward: -7.046, std reward: 2.588
sample: 66, mc_sample: 10, mean reward: -8.546, std reward: 4.218
sample: 67, mc_sample: 10, mean reward: -7.24, std reward: 2.904
sample: 68, mc_sample: 10, mean reward: -7.511, std reward: 4.338
sample: 69, mc_sample: 10, mean reward: -6.486, std reward: 3.921
sample: 70, mc_sample: 10, mean reward: -6.811, std reward: 3.301
sample: 71, mc_sample: 10, mean reward: -7.429, std reward: 3.737
sample: 72, mc_sample: 10, mean reward: -5.24, std reward: 3.443
sample: 73, mc_sample: 10, mean reward: -5.656, std reward: 3.725
sample: 74, mc_sample: 10, mean reward: -8.377, std reward: 4.06
sample: 75, mc_sample: 10, mean reward: -8.176, std reward: 3.824
sample: 76, mc_sample: 10, mean reward: -9.177, std reward: 4.093
sample: 77, mc_sample: 10, mean reward: -4.42, std reward: 2.52
sample: 78, mc_sample: 10, mean reward: -6.971, std reward: 3.631
sample: 79, mc_sample: 10, mean reward: -9.157, std reward: 4.166
sample: 80, mc_sample: 10, mean reward: -7.845, std reward: 4.19
sample: 81, mc_sample: 10, mean reward: -6.802, std reward: 4.642
sample: 82, mc_sample: 10, mean reward: -6.727, std reward: 3.541
sample: 83, mc_sample: 10, mean reward: -8.72, std reward: 2.395
sample: 84, mc_sample: 10, mean reward: -8.796, std reward: 4.231
sample: 85, mc_sample: 10, mean reward: -8.356, std reward: 3.753
sample: 86, mc_sample: 10, mean reward: -7.991, std reward: 2.753
sample: 87, mc_sample: 10, mean reward: -5.661, std reward: 3.945
sample: 88, mc_sample: 10, mean reward: -9.146, std reward: 4.574
sample: 89, mc_sample: 10, mean reward: -9.016, std reward: 2.989
sample: 90, mc_sample: 10, mean reward: -6.631, std reward: 2.58
sample: 91, mc_sample: 10, mean reward: -8.655, std reward: 3.572
