sample: 0, mc_sample: 10, mean reward: -127.614, std reward: 19.473
sample: 1, mc_sample: 10, mean reward: -116.716, std reward: 24.46
sample: 2, mc_sample: 10, mean reward: -122.578, std reward: 15.537
sample: 3, mc_sample: 10, mean reward: -115.303, std reward: 16.189
sample: 4, mc_sample: 10, mean reward: -117.912, std reward: 19.257
sample: 5, mc_sample: 10, mean reward: -252.003, std reward: 19.838
sample: 6, mc_sample: 10, mean reward: -267.816, std reward: 26.834
sample: 7, mc_sample: 10, mean reward: -116.642, std reward: 12.668
sample: 8, mc_sample: 10, mean reward: -112.142, std reward: 17.904
sample: 9, mc_sample: 10, mean reward: -110.557, std reward: 12.867
sample: 10, mc_sample: 10, mean reward: -118.359, std reward: 24.456
sample: 11, mc_sample: 10, mean reward: -255.731, std reward: 22.169
sample: 12, mc_sample: 10, mean reward: -122.474, std reward: 17.815
sample: 13, mc_sample: 10, mean reward: -119.926, std reward: 26.815
sample: 14, mc_sample: 10, mean reward: -110.561, std reward: 21.992
sample: 15, mc_sample: 10, mean reward: -133.866, std reward: 12.515
sample: 16, mc_sample: 10, mean reward: -130.894, std reward: 32.318
sample: 17, mc_sample: 10, mean reward: -121.52, std reward: 20.885
sample: 18, mc_sample: 10, mean reward: -119.645, std reward: 26.191
sample: 19, mc_sample: 10, mean reward: -250.348, std reward: 16.652
sample: 20, mc_sample: 10, mean reward: -129.125, std reward: 17.517
sample: 21, mc_sample: 10, mean reward: -121.229, std reward: 26.842
sample: 22, mc_sample: 10, mean reward: -135.245, std reward: 21.872
sample: 23, mc_sample: 10, mean reward: -246.785, std reward: 17.349
sample: 24, mc_sample: 10, mean reward: -123.964, std reward: 16.996
sample: 25, mc_sample: 10, mean reward: -114.72, std reward: 16.792
sample: 26, mc_sample: 10, mean reward: -255.909, std reward: 18.059
sample: 27, mc_sample: 10, mean reward: -113.739, std reward: 19.307
sample: 28, mc_sample: 10, mean reward: -117.343, std reward: 15.824
sample: 29, mc_sample: 10, mean reward: -122.161, std reward: 21.548
sample: 30, mc_sample: 10, mean reward: -261.691, std reward: 17.457
sample: 31, mc_sample: 10, mean reward: -116.525, std reward: 7.731
sample: 32, mc_sample: 10, mean reward: -113.974, std reward: 28.44
sample: 33, mc_sample: 10, mean reward: -100.523, std reward: 20.654
sample: 34, mc_sample: 10, mean reward: -262.186, std reward: 16.707
sample: 35, mc_sample: 10, mean reward: -116.898, std reward: 18.489
sample: 36, mc_sample: 10, mean reward: -282.445, std reward: 23.477
sample: 37, mc_sample: 10, mean reward: -108.75, std reward: 21.186
sample: 38, mc_sample: 10, mean reward: -95.654, std reward: 19.448
sample: 39, mc_sample: 10, mean reward: -98.268, std reward: 18.012
sample: 40, mc_sample: 10, mean reward: -105.968, std reward: 15.331
