sample: 0, mc_sample: 1, mean reward: 10.658, std reward: 0.0
sample: 1, mc_sample: 1, mean reward: -386.989, std reward: 0.0
sample: 2, mc_sample: 1, mean reward: -388.676, std reward: 0.0
sample: 3, mc_sample: 1, mean reward: 3.059, std reward: 0.0
sample: 4, mc_sample: 1, mean reward: -405.737, std reward: 0.0
sample: 5, mc_sample: 1, mean reward: -384.393, std reward: 0.0
sample: 6, mc_sample: 1, mean reward: 27.994, std reward: 0.0
sample: 7, mc_sample: 1, mean reward: -364.014, std reward: 0.0
sample: 8, mc_sample: 1, mean reward: -391.403, std reward: 0.0
sample: 9, mc_sample: 1, mean reward: 19.211, std reward: 0.0
sample: 10, mc_sample: 1, mean reward: -387.521, std reward: 0.0
sample: 11, mc_sample: 1, mean reward: 5.829, std reward: 0.0
sample: 12, mc_sample: 1, mean reward: 3.033, std reward: 0.0
sample: 13, mc_sample: 1, mean reward: -379.848, std reward: 0.0
sample: 14, mc_sample: 1, mean reward: -353.392, std reward: 0.0
sample: 15, mc_sample: 1, mean reward: -338.036, std reward: 0.0
sample: 16, mc_sample: 1, mean reward: -6.806, std reward: 0.0
sample: 17, mc_sample: 1, mean reward: -329.65, std reward: 0.0
sample: 18, mc_sample: 1, mean reward: -320.372, std reward: 0.0
sample: 19, mc_sample: 1, mean reward: -350.57, std reward: 0.0
sample: 20, mc_sample: 1, mean reward: -386.186, std reward: 0.0
