sample: 0, mc_sample: 1, mean reward: 97.36, std reward: 0.0
sample: 1, mc_sample: 1, mean reward: 98.546, std reward: 0.0
sample: 2, mc_sample: 1, mean reward: 112.032, std reward: 0.0
sample: 3, mc_sample: 1, mean reward: 108.372, std reward: 0.0
sample: 4, mc_sample: 1, mean reward: 120.956, std reward: 0.0
sample: 5, mc_sample: 1, mean reward: 128.687, std reward: 0.0
sample: 6, mc_sample: 1, mean reward: 95.773, std reward: 0.0
sample: 7, mc_sample: 1, mean reward: 103.197, std reward: 0.0
sample: 8, mc_sample: 1, mean reward: 110.629, std reward: 0.0
sample: 9, mc_sample: 1, mean reward: 107.02, std reward: 0.0
sample: 10, mc_sample: 1, mean reward: 103.775, std reward: 0.0
sample: 11, mc_sample: 1, mean reward: 103.881, std reward: 0.0
sample: 12, mc_sample: 1, mean reward: 106.033, std reward: 0.0
sample: 13, mc_sample: 1, mean reward: 98.807, std reward: 0.0
sample: 14, mc_sample: 1, mean reward: 118.402, std reward: 0.0
sample: 15, mc_sample: 1, mean reward: 119.32, std reward: 0.0
sample: 16, mc_sample: 1, mean reward: 110.584, std reward: 0.0
sample: 17, mc_sample: 1, mean reward: 110.903, std reward: 0.0
sample: 18, mc_sample: 1, mean reward: 127.893, std reward: 0.0
sample: 19, mc_sample: 1, mean reward: 109.217, std reward: 0.0
sample: 20, mc_sample: 1, mean reward: 107.4, std reward: 0.0
sample: 21, mc_sample: 1, mean reward: 111.373, std reward: 0.0
sample: 22, mc_sample: 1, mean reward: 96.42, std reward: 0.0
sample: 23, mc_sample: 1, mean reward: 107.1, std reward: 0.0
sample: 24, mc_sample: 1, mean reward: 109.555, std reward: 0.0
sample: 25, mc_sample: 1, mean reward: 100.757, std reward: 0.0
sample: 26, mc_sample: 1, mean reward: 90.433, std reward: 0.0
sample: 27, mc_sample: 1, mean reward: 103.911, std reward: 0.0
sample: 28, mc_sample: 1, mean reward: 110.098, std reward: 0.0
sample: 29, mc_sample: 1, mean reward: 103.366, std reward: 0.0
sample: 30, mc_sample: 1, mean reward: 103.2, std reward: 0.0
sample: 31, mc_sample: 1, mean reward: 101.687, std reward: 0.0
sample: 32, mc_sample: 1, mean reward: 114.587, std reward: 0.0
sample: 33, mc_sample: 1, mean reward: 113.39, std reward: 0.0
sample: 34, mc_sample: 1, mean reward: 100.062, std reward: 0.0
sample: 35, mc_sample: 1, mean reward: 101.864, std reward: 0.0
sample: 36, mc_sample: 1, mean reward: 103.876, std reward: 0.0
sample: 37, mc_sample: 1, mean reward: 106.975, std reward: 0.0
sample: 38, mc_sample: 1, mean reward: 117.352, std reward: 0.0
sample: 39, mc_sample: 1, mean reward: 125.217, std reward: 0.0
sample: 40, mc_sample: 1, mean reward: 113.639, std reward: 0.0
sample: 41, mc_sample: 1, mean reward: 111.615, std reward: 0.0
sample: 42, mc_sample: 1, mean reward: 107.138, std reward: 0.0
sample: 43, mc_sample: 1, mean reward: 131.352, std reward: 0.0
sample: 44, mc_sample: 1, mean reward: 117.091, std reward: 0.0
sample: 45, mc_sample: 1, mean reward: 128.424, std reward: 0.0
sample: 46, mc_sample: 1, mean reward: 115.65, std reward: 0.0
sample: 47, mc_sample: 1, mean reward: 104.174, std reward: 0.0
sample: 48, mc_sample: 1, mean reward: 114.176, std reward: 0.0
sample: 49, mc_sample: 1, mean reward: 119.182, std reward: 0.0
sample: 50, mc_sample: 1, mean reward: 116.215, std reward: 0.0
sample: 51, mc_sample: 1, mean reward: 107.5, std reward: 0.0
sample: 52, mc_sample: 1, mean reward: 109.735, std reward: 0.0
sample: 53, mc_sample: 1, mean reward: 108.36, std reward: 0.0
sample: 54, mc_sample: 1, mean reward: 115.45, std reward: 0.0
sample: 55, mc_sample: 1, mean reward: 120.161, std reward: 0.0
sample: 56, mc_sample: 1, mean reward: 113.005, std reward: 0.0
sample: 57, mc_sample: 1, mean reward: 115.971, std reward: 0.0
sample: 58, mc_sample: 1, mean reward: 113.701, std reward: 0.0
