sample: 0, mc_sample: 10, mean reward: -0.617, std reward: 2.629
sample: 1, mc_sample: 10, mean reward: 15.287, std reward: 2.428
sample: 2, mc_sample: 10, mean reward: 14.554, std reward: 4.241
sample: 3, mc_sample: 10, mean reward: 1.053, std reward: 2.618
sample: 4, mc_sample: 10, mean reward: -3.253, std reward: 3.257
sample: 5, mc_sample: 10, mean reward: 13.249, std reward: 3.015
sample: 6, mc_sample: 10, mean reward: -6.887, std reward: 2.054
sample: 7, mc_sample: 10, mean reward: -4.007, std reward: 3.032
sample: 8, mc_sample: 10, mean reward: 2.404, std reward: 2.06
sample: 9, mc_sample: 10, mean reward: 5.089, std reward: 2.468
sample: 10, mc_sample: 10, mean reward: 14.469, std reward: 3.766
sample: 11, mc_sample: 10, mean reward: 15.63, std reward: 4.768
sample: 12, mc_sample: 10, mean reward: 10.317, std reward: 3.6
sample: 13, mc_sample: 10, mean reward: 16.71, std reward: 3.369
sample: 14, mc_sample: 10, mean reward: -4.43, std reward: 2.283
sample: 15, mc_sample: 10, mean reward: 14.523, std reward: 6.252
sample: 16, mc_sample: 10, mean reward: -8.865, std reward: 2.401
sample: 17, mc_sample: 10, mean reward: 11.341, std reward: 5.099
sample: 18, mc_sample: 10, mean reward: 11.482, std reward: 5.495
sample: 19, mc_sample: 10, mean reward: 5.367, std reward: 1.653
sample: 20, mc_sample: 10, mean reward: -2.017, std reward: 2.689
sample: 21, mc_sample: 10, mean reward: 17.67, std reward: 4.411
sample: 22, mc_sample: 10, mean reward: 3.955, std reward: 2.304
sample: 23, mc_sample: 10, mean reward: 16.046, std reward: 3.896
sample: 24, mc_sample: 10, mean reward: 13.898, std reward: 4.047
sample: 25, mc_sample: 10, mean reward: -9.319, std reward: 1.323
sample: 26, mc_sample: 10, mean reward: 20.444, std reward: 1.798
sample: 27, mc_sample: 10, mean reward: 12.757, std reward: 2.793
sample: 28, mc_sample: 10, mean reward: 26.026, std reward: 0.844
sample: 29, mc_sample: 10, mean reward: 23.36, std reward: 0.783
sample: 30, mc_sample: 10, mean reward: 25.621, std reward: 0.76
sample: 31, mc_sample: 10, mean reward: 1.372, std reward: 1.545
sample: 32, mc_sample: 10, mean reward: 20.21, std reward: 1.167
sample: 33, mc_sample: 10, mean reward: 25.838, std reward: 0.85
