sample: 0, mc_sample: 15, mean reward: 34.111, std reward: 4.053
sample: 1, mc_sample: 15, mean reward: 41.014, std reward: 4.257
sample: 2, mc_sample: 15, mean reward: 27.91, std reward: 3.144
sample: 3, mc_sample: 15, mean reward: 27.741, std reward: 3.909
sample: 4, mc_sample: 15, mean reward: 22.357, std reward: 2.415
sample: 5, mc_sample: 15, mean reward: 42.162, std reward: 4.203
sample: 6, mc_sample: 15, mean reward: 35.905, std reward: 4.365
sample: 7, mc_sample: 15, mean reward: 32.876, std reward: 3.808
sample: 8, mc_sample: 15, mean reward: 27.391, std reward: 3.893
sample: 9, mc_sample: 15, mean reward: 35.845, std reward: 4.18
sample: 10, mc_sample: 15, mean reward: 23.154, std reward: 3.598
sample: 11, mc_sample: 15, mean reward: 26.728, std reward: 3.105
sample: 12, mc_sample: 15, mean reward: 42.885, std reward: 4.237
sample: 13, mc_sample: 15, mean reward: 19.049, std reward: 3.268
sample: 14, mc_sample: 15, mean reward: 37.968, std reward: 4.437
sample: 15, mc_sample: 15, mean reward: 32.15, std reward: 4.591
sample: 16, mc_sample: 15, mean reward: 26.234, std reward: 2.186
sample: 17, mc_sample: 15, mean reward: 29.126, std reward: 4.628
sample: 18, mc_sample: 15, mean reward: 36.901, std reward: 4.859
sample: 19, mc_sample: 15, mean reward: 34.659, std reward: 4.407
sample: 20, mc_sample: 15, mean reward: 24.825, std reward: 4.24
sample: 21, mc_sample: 15, mean reward: 27.92, std reward: 2.958
sample: 22, mc_sample: 15, mean reward: 26.898, std reward: 3.605
sample: 23, mc_sample: 15, mean reward: 33.783, std reward: 3.223
sample: 24, mc_sample: 15, mean reward: 29.771, std reward: 3.701
sample: 25, mc_sample: 15, mean reward: 31.811, std reward: 5.999
sample: 26, mc_sample: 15, mean reward: 35.305, std reward: 5.584
sample: 27, mc_sample: 15, mean reward: 32.878, std reward: 4.398
sample: 28, mc_sample: 15, mean reward: 28.131, std reward: 2.683
sample: 29, mc_sample: 15, mean reward: 23.239, std reward: 2.853
sample: 30, mc_sample: 15, mean reward: 36.432, std reward: 3.188
sample: 31, mc_sample: 15, mean reward: 23.427, std reward: 3.998
sample: 32, mc_sample: 15, mean reward: 33.659, std reward: 2.964
sample: 33, mc_sample: 15, mean reward: 23.122, std reward: 2.678
