sample: 0, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 0
sample: 1, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.4921875
sample: 2, mc_sample: 1, mean reward: 0.4, std reward: 0.0, kl: 80254.4921875
sample: 3, mc_sample: 1, mean reward: 0.5, std reward: 0.0, kl: 80254.4921875
sample: 4, mc_sample: 1, mean reward: -1.0, std reward: 0.0, kl: 80254.4921875
sample: 5, mc_sample: 1, mean reward: 0.8, std reward: 0.0, kl: 80254.4921875
sample: 6, mc_sample: 1, mean reward: -1.0, std reward: 0.0, kl: 80254.4921875
sample: 7, mc_sample: 1, mean reward: -1.0, std reward: 0.0, kl: 80254.4921875
sample: 8, mc_sample: 1, mean reward: 0.4, std reward: 0.0, kl: 80254.4921875
sample: 9, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.4921875
sample: 10, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80254.4921875
sample: 11, mc_sample: 1, mean reward: 0.3, std reward: 0.0, kl: 80254.4921875
sample: 12, mc_sample: 1, mean reward: 0.5, std reward: 0.0, kl: 80254.4921875
sample: 13, mc_sample: 1, mean reward: 0.3, std reward: 0.0, kl: 80254.4921875
sample: 14, mc_sample: 1, mean reward: -0.6, std reward: 0.0, kl: 80254.4921875
sample: 15, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.4921875
sample: 16, mc_sample: 1, mean reward: -0.6, std reward: 0.0, kl: 80254.4921875
sample: 17, mc_sample: 1, mean reward: 0.7, std reward: 0.0, kl: 80254.4921875
sample: 18, mc_sample: 1, mean reward: 1.0, std reward: 0.0, kl: 80254.4921875
sample: 19, mc_sample: 1, mean reward: 1.0, std reward: 0.0, kl: 80254.4921875
sample: 20, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80254.4921875
sample: 21, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.4921875
sample: 22, mc_sample: 1, mean reward: 0.4, std reward: 0.0, kl: 80254.4921875
sample: 23, mc_sample: 1, mean reward: -0.7, std reward: 0.0, kl: 80254.4921875
sample: 24, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.4921875
sample: 25, mc_sample: 1, mean reward: -0.8, std reward: 0.0, kl: 80254.4921875
sample: 26, mc_sample: 1, mean reward: -0.9, std reward: 0.0, kl: 80254.4921875
sample: 27, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80254.4921875
sample: 28, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80254.4921875
sample: 29, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.4921875
sample: 30, mc_sample: 1, mean reward: 1.1, std reward: 0.0, kl: 80254.4921875
sample: 31, mc_sample: 1, mean reward: -0.5, std reward: 0.0, kl: 80254.4921875
sample: 32, mc_sample: 1, mean reward: -0.4, std reward: 0.0, kl: 80254.4921875
sample: 33, mc_sample: 1, mean reward: 0.5, std reward: 0.0, kl: 80254.4921875
sample: 34, mc_sample: 1, mean reward: 1.2, std reward: 0.0, kl: 80254.4921875
sample: 35, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.4921875
sample: 36, mc_sample: 1, mean reward: -1.1, std reward: 0.0, kl: 80254.4921875
